ID	name	C	H	O	N	P	cas	experimental_enthalpy
874	Bicyclo-4-2-0-octa-2-4-diene	8	10	0	0	0	3725-28-8	45.23
875	_1-3-6-Cyclooctatriene	8	10	0	0	0	3725-30-2	46.92
876	_1-4-Dicyanobenzene-di-N-oxide	8	4	2	2	0	3729-34-8	98.11
877	Cyclopentane--pentyl-	10	20	0	0	0	3741-00-2	-45.15
878	_2-3-Diazabicyclo-2-2-2-octa-2-5-diene-N-oxide	6	8	1	2	0	37436-17-2	52.82
879	c_-E--Azodioxymethane	2	6	2	2	0	37765-15-4	15.8
880	cis-cis-1-3-Cyclooctadiene	8	12	0	0	0	3806-59-5	20.1
881	c_-Z-E--1-3-Cyclooctadiene	8	12	0	0	0	3806-60-8	35
882	Bicyclo-4-2-0-oct-7-ene	8	12	0	0	0	3806-82-4	28.81
883	Oxirane----2-methylpropoxy-methyl--	7	14	2	0	0	3814-55-9	-74.69
884	c_-E--1-Methyl-1-cyclooctene	9	16	0	0	0	38229-26-4	-1.3
885	_6-Methylfulvene	7	8	0	0	0	3839-50-7	44.2
886	cis-Bicyclo-4-3-0-nona-3-7-diene	9	12	0	0	0	38451-18-2	26.09
887	_3-5-Diethylbenzoic-acid	11	14	2	0	0	3854-90-8	-97.47
888	_1---Tert-butyl-dioxy--3-ethoxy-2-propanol	9	20	4	0	0	38578-21-1	-153.8
889	_1--Tert-butyldioxy--3-propoxy-2-propanol	10	22	4	0	0	38578-22-2	-157
890	_3---Tert-butyl-dioxy--1-2-propanediol	7	16	4	0	0	38578-50-6	-150.9
891	_1--Tert-butyldioxy--3-pentyloxy-2-propanol	12	26	4	0	0	38578-71-1	-166.1
892	Cyclohexanecarbonitrile--1--1-piperidinyl--	12	20	0	2	0	3867-15-0	0.84
893	_2-2-2-Trinitro-1-phenylethane	8	7	6	3	0	38677-56-4	15.7
894	Alpha-caran-3-ol	10	18	1	0	0	38748-97-9	-59.7
895	Azuleno-2-1-8-ija-azulene-10b-10c-dihydro-	16	12	0	0	0	38765-94-5	111.4
896	Bicyclo-4-4-1-undeca-1-3-5-triene	11	14	0	0	0	38795-15-2	35
897	_1-2-Diisopropyldiazene	6	14	0	2	0	3880-49-7	8.6
898	_1-Butanamine--N--1-methylethyl--	7	17	0	1	0	39099-23-5	-39.44
899	trans-----Bicyclo--6-1-0-nonane	9	16	0	0	0	39124-79-3	-4.5
900	_2-Hydroxymethyl-1-3-dioxane	5	10	3	0	0	39239-93-5	-132
901	_2--1-Hydroxy-1-methylethyl-2-methyl-1-3-dioxane	8	16	3	0	0	39239-96-8	-153.3
902	_1-9-Nonanediol	9	20	2	0	0	3937-56-2	-121.6
903	Propanoic-acid--2-2-dimethyl---ethyl-ester	7	14	2	0	0	3938-95-2	-125.62
904	_2-Methyl-3-carbomethoxyquinoxaline-1-4-dioxide	11	10	4	2	0	40016-70-4	-35.54
905	_8-Hydroxy-5-nitroquinoline	9	6	3	2	0	4008-48-4	-0.41
906	Bicyclo-2-2-0-hexane--2-3-bis-methylene--	8	10	0	0	0	40117-13-3	75.4
907	Oxirane----1-methylethoxy-methyl--	6	12	2	0	0	4016-14-2	-71.56
908	_4-Carbomethoxyhomocubane	11	12	2	0	0	40317-63-3	6.2
909	_1-3-Cyclopentadiene--1-2-3-4-5-pentamethyl-	10	16	0	0	0	4045-44-7	-5.9
910	_2-Hexene---E--	6	12	0	0	0	4050-45-7	-12.2
911	_2--Diethylamino--1-phenylethanone	12	17	1	1	0	4061-29-4	-23
912	_2-4-6-Tri-tert-butylnitrobenzene	18	29	2	1	0	4074-25-3	-45.4
913	_1H-Tetrazole--5-methyl-	2	4	0	4	0	4076-36-2	67.09
914	Bicyclo-3-2-1-octa-2-6-diene	8	10	0	0	0	4096-95-1	37.7
915	d-L-1-2-Dimethyl-1-2-diphenlethylene-glycol-dimethyl-ether	18	22	2	0	0	41047-48-7	-43.8
916	_4-5-Dihydro-3-nitro-isoxazole-2-oxide	3	4	4	2	0	4122-45-6	4.8
917	_2-5-Dimethyl--E--1-3-5-hexatriene	8	12	0	0	0	41233-74-3	22.9
918	_1-3-Cyclopentadiene--5-5-dimethyl-	7	10	0	0	0	4125-18-2	20.7
919	_2H-Tetrazole--2-5-dimethyl-	3	6	0	4	0	4135-93-7	60.04
920	Tricyclo-4-2-1-0-2-5--non-2-5--ene	9	10	0	0	0	41487-78-9	57.4
921	Methanamine--N-methyl-N-nitro-	2	6	2	2	0	4164-28-7	-1.2
922	Morpholine--4-nitro-	4	8	3	2	0	4164-32-3	-31.3
923	Piperazine--1-4-dinitro-	4	8	4	4	0	4164-37-8	13.9
924	_2-Butenal	4	6	1	0	0	4170-30-3	-26.22
925	_3-Pentanol--3--1-1-dimethylethyl--2-2-4-4-tetramethyl-	13	28	1	0	0	41902-42-5	-98.02
926	n-Pentylmalononitrile	8	12	0	2	0	42046-61-7	32.45
927	t-Butylmalononitrile	7	10	0	2	0	4210-60-0	30.29
928	Bicyclo-4-2-0-octa-1-5-diene	8	10	0	0	0	42206-10-0	53.1
929	_1-2-Divinylcyclobutene	8	10	0	0	0	42206-11-1	62.5
930	N-Phenethylazetidine	11	15	0	1	0	42525-65-5	44.26
931	Cyclopentanecarbonitrile	6	9	0	1	0	4254-02-8	11.7
932	_2-4-6-Trimethyl-3-5-dioxaheptane	8	18	2	0	0	4285-59-0	-125.7
933	_1-Tert-butoxy-3-ethoxy-2-propanol	9	20	3	0	0	42910-64-5	-164.8
934	_1--Tert-butoxy--3-pentoxy-2-propanol	12	26	3	0	0	42910-66-7	-177.8
935	Cyclohexane--hexyl-	12	24	0	0	0	4292-75-5	-60.8
936	Cyclohexane--pentyl-	11	22	0	0	0	4292-92-6	-55.88
937	_1-Tert-butoxy-3-propoxy-2-propanol	10	22	3	0	0	42991-60-6	-169.2
938	_2-3-Butanedione	4	6	2	0	0	431-03-8	-78.1
939	Benzene---1-1-dimethoxyethyl--	10	14	2	0	0	4316-35-2	-68.95
940	Acetophenone-diethyl-ketal	12	18	2	0	0	4316-37-4	-88.1
941	_2-Oxabicyclo-2-2-2-octan-3-one	7	10	2	0	0	4350-84-9	-94.79
942	Phenol--4-methyl-3--1-methylethyl--	10	14	1	0	0	4371-46-4	-44.24
943	_3-Isopropyl-2-methylphenol	10	14	1	0	0	4371-48-6	-43.64
944	_1-Phenylethenol	8	8	1	0	0	4383-15-7	-11
945	_6-6-Paracyclophane	24	32	0	0	0	4384-23-0	-18.5
946	_5-Methoxybenzofurazan	7	6	2	2	0	4413-48-3	35.16
947	_1-1-Dimethoxybutane	6	12	2	0	0	4415-90-1	-73.9
948	Cyclobutanecarbonitrile	5	7	0	1	0	4426-11-3	35.21
949	Butylmethyldiazene	5	12	0	2	0	4426-46-4	18.86
950	_1-2-Butanediamine	4	12	0	2	0	4426-48-6	-17.58
951	Phenol--4-methyl-2--1-methylethyl--	10	14	1	0	0	4427-56-9	-47.42
952	Carbonic-acid-dicyclohexyl-ester	13	22	3	0	0	4427-97-8	-182.6
953	_3-5-7-9-Tetraoxaundecane	7	16	4	0	0	4431-82-7	-177.1
954	_2-2-6-6-Tetramethyl-4-heptanone	11	22	1	0	0	4436-99-1	-100.7
955	Cyanoketene	3	1	1	1	0	4452-08-8	24
956	Cyclopentane--hexyl-	11	22	0	0	0	4457-00-5	-50.07
957	Butane--1-1-dimethoxy-	6	14	2	0	0	4461-87-4	-101.7
958	_2-Methylene-3-butenoic-acid-ethyl-ester	7	10	2	0	0	44804-88-8	-69.2
959	Sec-butylcrotonate	8	14	2	0	0	44917-51-3	-101.6
960	_1-2-Benzenediol--4-methyl-	7	8	2	0	0	452-86-8	-71.32
961	_1H-Indene--octahydro---cis-	9	16	0	0	0	4551-51-3	-30.41
962	_1-3-Butadiyne	4	2	0	0	0	460-12-8	111
963	Cyanogen	2	0	0	2	0	460-19-5	73.87
964	_3-Pyridinamine	5	6	0	2	0	462-08-8	34.46
965	_1-Methyl-bicyclo-3-1-0--hexane	7	12	0	0	0	4625-24-5	0.36
966	Benzyne	6	4	0	0	0	462-80-6	105
967	Diethoxymethane	5	12	2	0	0	462-95-3	-98.73
968	Ketene	2	2	1	0	0	463-51-4	-20.85
969	Methanamine--1-1-dimethoxy-N-N-dimethyl-	5	13	2	1	0	4637-24-5	-85
970	Propane--2-2-dimethyl-	5	12	0	0	0	463-82-1	-40.14
971	Butane--2-2-3-trimethyl-	7	16	0	0	0	464-06-2	-48.96
972	N-N-Dimethylamino-2-4-pentadiene-5-al	7	11	1	1	0	4688-60-2	-6.95
973	Oxalamide	2	4	2	2	0	471-46-5	-92.52
974	Oxamic-acid	2	3	3	1	0	471-47-6	-132
975	p-Diacetylbenzene-diethyl-ketal	18	30	4	0	0	47189-08-2	-189.7
976	_11-Azabicyclo-4-4-1-undeca-1-3-5-7-9-pentaene	10	9	0	1	0	4753-55-3	87.8
977	_1-4-Naphthalenedione--5-8-dihydroxy-	10	6	4	0	0	475-38-7	-119.3
978	_11-Oxabicyclo-4-4-1-undeca-1-3-5-7-9-pentaene	10	8	1	0	0	4759-11-9	47.8
979	_9-10-1--2---Benzenoanthracene--9-10-dihydro-	20	14	0	0	0	477-75-8	76.9
980	Benzoic-acid--2-4-6-trimethyl-	10	12	2	0	0	480-63-7	-89.44
981	Cyclobutane--ethyl-	6	12	0	0	0	4806-61-5	-6.6
982	Benzofurazan--1-oxide	6	4	2	2	0	480-96-6	71.34
983	_9H-Fluoren-9-one	13	8	1	0	0	486-25-9	12.5
984	_1-2-Benzenediol--3-methyl-	7	8	2	0	0	488-17-5	-71.53
985	Benzene--1-2-3-4-tetramethyl-	10	14	0	0	0	488-23-3	-8.61
986	_2-Methyl-bicyclo-2-2-2--oct-2-ene	9	14	0	0	0	4893-13-4	-4.45
987	_1H-Indene--2-3-dihydro-1-1-dimethyl-	11	14	0	0	0	4912-92-9	-0.45
988	Quinoline--4-methyl-	10	9	0	1	0	491-35-0	38.74
989	_4H-1-Benzopyran-4-one	9	6	2	0	0	491-38-3	-35.49
990	_9-Oxabicyclo-6-1-0-nonane--cis-	8	14	1	0	0	4925-71-7	-39.46
991	Bicyclo-3-2-0-hept-6-ene	7	10	0	0	0	4927-03-1	33.38
992	_1-2-Cyclohexanedione-dioxime	6	10	2	2	0	492-99-9	-16.65
993	Naphthalene--decahydro---cis-	10	18	0	0	0	493-01-6	-40.45
994	Naphthalene--decahydro---trans-	10	18	0	0	0	493-02-7	-43.54
995	Isochroman	9	10	1	0	0	493-05-0	-15.1
996	_2H-1-Benzopyran--3-4-dihydro-	9	10	1	0	0	493-08-3	-19.7
997	Bicyclo-1-1-0-butane-1-carboxcylic-acid-methyl-ester	6	8	2	0	0	4935-01-7	-39.34
998	_1-4-Dimethyl-2-3-diaza-bicyclo-2-2-2-oct-2-ene	8	14	0	2	0	49570-30-1	22.08
999	Indane	9	10	0	0	0	496-11-7	14.6
1000	Phthalan	8	8	1	0	0	496-14-0	-7.19
1001	Benzofuran--2-3-dihydro-	8	8	1	0	0	496-16-2	-11.1
1002	Fulvene	6	6	0	0	0	497-20-1	53.6
1003	_1-3-Dioxolane--2-methyl-	4	8	2	0	0	497-26-7	-83.7
1004	_2-Norbornanone	7	10	1	0	0	497-38-1	-40.8
1005	Furazan--dimethyl-	4	6	1	2	0	4975-21-7	25.6
1006	Cyclohexane--1-4-bis-methylene--	8	12	0	0	0	4982-20-1	15.39
1007	_2-Norbornene	7	10	0	0	0	498-66-8	21
1008	Benzoic-acid--3-5-dimethyl-	9	10	2	0	0	499-06-9	-87.12
1009	Phenol--2-methyl-5--1-methylethyl--	10	14	1	0	0	499-75-2	-46.42
1010	Formaldehyde	1	2	1	0	0	50-00-0	-27.701
1011	Cyclohexene--4-methyl-1--1-methylethyl--	10	18	0	0	0	500-00-5	-26.58
1012	Cyclopropanone	3	4	1	0	0	5009-27-8	3.8
1013	Diphenylethyne	14	10	0	0	0	501-65-5	92
1014	Bicyclo-3-2-1-octan-2-one	8	12	1	0	0	5019-82-9	-52
1015	Cycloheptanone	7	12	1	0	0	502-42-1	-59.3
1016	_2-Oxepanone	6	10	2	0	0	502-44-3	-94.7
1017	Cyclooctanone	8	14	1	0	0	502-49-8	-65.05
1018	_5-Nonanone	9	18	1	0	0	502-56-7	-82.44
1019	_1-4-Cyclohexadiene-3-6-bis-methylene--	8	8	0	0	0	502-86-3	50
1020	_1-4-Dioxane-2-5-dione	4	4	4	0	0	502-97-6	-147.1
1021	_2-Butyne	4	6	0	0	0	503-17-3	34.68
1022	Oxetane	3	6	1	0	0	503-30-0	-19.25
1023	Pentalene-1-3-5-tris-1-1-dimethylethyl--	20	30	0	0	0	50356-52-0	3.4
1024	Butanoic-acid--3-methyl-	5	10	2	0	0	503-74-2	-120.1
1025	_1-3-Cyclohexanedione	6	8	2	0	0	504-02-9	-80.21
1026	s-Triazine-2-4-6-triol	3	3	3	3	0	504-19-8	-134.81
1027	_4-Pyridinamine	5	6	0	2	0	504-24-5	31.05
1028	_2-Pyridinamine	5	6	0	2	0	504-29-0	28.23
1029	_1-3-Propanediol	3	8	2	0	0	504-63-2	-97.6
1030	Carbon-suboxide	3	0	2	0	0	504-64-3	-22.38
1031	_1-3-Dioxane	4	8	2	0	0	505-22-6	-80.88
1032	Tetracyclo-4-1-0-0-2-4--0-3-5--heptane	7	8	0	0	0	50861-26-2	88.4
1033	Trispiro-2-0-0-2-1-1-nonane	9	12	0	0	0	50874-24-3	102.7
1034	Methane--tetranitro-	1	0	8	4	0	509-14-8	19.7
1035	_1H-Benzimidazole	7	6	0	2	0	51-17-2	43.43
1036	n-Butyl-pivalate	9	18	2	0	0	5129-37-3	-135.3
1037	_2-Butene--2-methyl-	5	10	0	0	0	513-35-9	-9.92
1038	_1H-Tetrazole--1-5-dimethyl-	3	6	0	4	0	5144-11-6	65.3
1039	_2-Tert-pentylperoxyethanol	7	16	3	0	0	51452-08-5	-110.9
1040	C2H5C-CH3-2ONO	5	11	2	1	0	5156-41-2	-45.8
1041	Bicyclo-2-1-0-pent-2-ene	5	6	0	0	0	5164-35-2	79.6
1042	Hexane--3-3-4-4-tetraethyl-	14	30	0	0	0	5171-86-8	-63.46
1043	_2-3-Dimethyl-2-3-bis-4-tert-butylphenyl-butane	26	38	0	0	0	5171-91-5	-33.3
1044	_5-6-11-12-Tetraphenylnaphthacene	42	28	0	0	0	517-51-1	211
1045	Urethane	3	7	2	1	0	51-79-6	-106.7
1046	Tricyclo-4-4-2-0-1-6-dodeca-2-4-7-9-tetraene	12	12	0	0	0	5181-34-0	90.41
1047	Diisopropenyldiacetylene	10	10	0	0	0	5187-81-5	118.1
1048	_2-4-Hexadiene---E-Z--	6	10	0	0	0	5194-50-3	11.5
1049	_2-4-Hexadiene---E-E--	6	10	0	0	0	5194-51-4	10.6
1050	Cyclohexane--1-3-bis-methylene--	8	12	0	0	0	52086-82-5	13
1051	_3-4-Diethoxy-3-cyclobutene-1-2-dione	8	10	4	0	0	5231-87-8	-114.4
1052	_1-5-Cyclooctadiene---E-Z--	8	12	0	0	0	5259-71-2	37.8
1053	Benzene--1-2-3-trimethyl-	9	12	0	0	0	526-73-8	-2.29
1054	_3-Pentynoic-acid-ethyl-ester	7	10	2	0	0	52750-56-8	-56.8
1055	Benzene--1-2-3-5-tetramethyl-	10	14	0	0	0	527-53-7	-10.33
1056	Phenol--2-4-6-trimethyl-	9	12	1	0	0	527-60-6	-63.03
1057	_3-4-Dimethylenecyclobut-1-ene	6	6	0	0	0	5291-90-7	80.4
1058	_1-2-4-Benzenetriol	6	6	3	0	0	533-73-3	-106.1
1059	_2-4-6-Cycloheptatrien-1-one--2-hydroxy-	7	6	2	0	0	533-75-5	-37.2
1060	_3-3-4-Trimethylpentan-2-one	8	16	1	0	0	5340-47-6	-78.5
1061	_1-2-Pentanediol	5	12	2	0	0	5343-92-0	-111.2
1062	c_--946--Cyanopropiophenone	10	9	1	1	0	5343-98-6	7.2
1063	Benzoic-acid--4--1-methylethyl--	10	12	2	0	0	536-66-3	-91.47
1064	Phenylacetylene	8	6	0	0	0	536-74-3	73.27
1065	Dibenz-a-h-anthracene	22	14	0	0	0	53-70-3	78.4
1066	_2-2-Metaparacyclophane	16	16	0	0	0	5385-36-4	52.18
1067	Benzene---2-methylpropyl--	10	14	0	0	0	538-93-2	-5.15
1068	_2-5-5-Trimethyl-2-phenyl-1-3-dioxane	13	18	2	0	0	5406-58-6	-83.81
1069	Ethane--methoxy-	3	8	1	0	0	540-67-0	-51.73
1070	Propanoic-acid-ethoxymethyl-ester	6	12	3	0	0	54078-53-4	-147.6
1071	Pentane--2-2-4-trimethyl-	8	18	0	0	0	540-84-1	-53.57
1072	Acetic-acid--1-1-dimethylethyl-ester	6	12	2	0	0	540-88-5	-123.4
1073	Cyclohexane--undecyl-	17	34	0	0	0	54105-66-7	-85.3
1074	Butanamide	4	9	1	1	0	541-35-5	-66.72
1075	Iso-propyl-nitrite	3	7	2	1	0	541-42-4	-31.9
1076	Tetramethyldiazetine	6	12	0	2	0	54166-22-2	35.92
1077	_1-1-Diacetoxyethane	6	10	4	0	0	542-10-9	-194.2
1078	_1-Methyl-5-aminotetrazole	2	5	0	5	0	5422-44-6	72.28
1079	_9-Cycloheptadecen-1-one---Z--	17	30	1	0	0	542-46-1	-97.6
1080	c_-E--2-3-Di-tert-butyl-2-butene	12	24	0	0	0	54290-40-3	-35.74
1081	_1-3-Cyclopentadiene	5	6	0	0	0	542-92-7	33.2
1082	_2-Heptanol	7	16	1	0	0	543-49-7	-84.94
1083	Propyl-nitrite	3	7	2	1	0	543-67-9	-28.4
1084	_1-3-5-Cycloheptatriene	7	8	0	0	0	544-25-2	44.6
1085	c_-Z--2-3-Di-tert-butyl-2-butene	12	24	0	0	0	54429-93-5	-29.43
1086	_1-1-Cyclobutanedicarboxylic-acid	6	8	4	0	0	5445-51-2	-173.2
1087	Hexadecane	16	34	0	0	0	544-76-3	-89.6
1088	_1-3-Diphenylisobenzofuran	20	14	1	0	0	5471-63-6	48.4
1089	Bicyclo-4-1-0-heptan-3-ol--4-7-7-trimethyl----1--945--3--946--4--945--6--945---	10	18	1	0	0	54750-09-3	-55.96
1090	Cyclopropanecarbonitrile	4	5	0	1	0	5500-21-0	43.7
1091	Cyclohexene--1-methyl-4--1-methylethyl--	10	18	0	0	0	5502-88-5	-26.48
1092	_1H-Isoindole-1-3-2H--dione--2-methyl-	9	7	2	1	0	550-44-7	-55.9
1093	_1-Adamantanecarboxamide	11	17	1	1	0	5511-18-2	-76.24
1094	Docosane--5-butyl-	26	54	0	0	0	55282-16-1	-140.4
1095	_2-Pentynoic-acid-ethyl-ester	7	10	2	0	0	55314-57-3	-59.8
1096	Heneicosane--11-decyl-	31	64	0	0	0	55320-06-4	-167.3
1097	Bicyclo-4-1-0-hept-2-ene--3-7-7-trimethyl-	10	16	0	0	0	554-61-0	6
1098	Phenol--3-nitro-	6	5	3	1	0	554-84-7	-26.12
1099	Butanoic-acid--3-methyl---methyl-ester	6	12	2	0	0	556-24-1	-119
1100	Methyl-propyl-ether	4	10	1	0	0	557-17-5	-56.89
1101	Ethenol	2	4	1	0	0	557-75-5	-30.6
1102	trans-Bicyclo-3-3-0-octane	8	14	0	0	0	5597-89-7	-15.9
1103	Pentane--2-3-3-trimethyl-	8	18	0	0	0	560-21-4	-51.73
1104	o-Nitrosonitrobenzene-dimer	12	8	6	4	0	56079-22-2	74.7
1105	_4-Aminobutanoic-acid	4	9	2	1	0	56-12-2	-105
1106	Heptylcyclohexane	13	26	0	0	0	5617-41-4	-65.73
1107	n-Heptylcyclopentane	12	24	0	0	0	5617-42-5	-55
1108	Pentane--3-3-dimethyl-	7	16	0	0	0	562-49-2	-48.17
1109	n-Dodecylcyclopentane	17	34	0	0	0	5634-30-0	-79.63
1110	_1-Butene--3-methyl-	5	10	0	0	0	563-45-1	-6.09
1111	_1-Butene--2-methyl-	5	10	0	0	0	563-46-2	-8.39
1112	_1-Butene--2-3-dimethyl-	6	12	0	0	0	563-78-0	-15.74
1113	_2-Butene--2-3-dimethyl-	6	12	0	0	0	563-79-1	-16.8
1114	_2-Butanone--3-methyl-	5	10	1	0	0	563-80-4	-62.76
1115	Propanamide--2-methyl-	4	9	1	1	0	563-83-7	-67.5
1116	Pentane--2-2-3-trimethyl-	8	18	0	0	0	564-02-3	-52.61
1117	Alanine	3	7	2	1	0	56-41-7	-99.1
1118	Benzoic-acid--3--1-methylethyl--	10	12	2	0	0	5651-47-8	-89.75
1119	_1-1-Dinitroethylazide	2	3	4	5	0	56522-42-0	60.4
1120	Benz-a-anthracene	18	12	0	0	0	56-55-3	69.4
1121	Pentane--2-3-dimethyl-	7	16	0	0	0	565-59-3	-47.62
1122	_2-Pentanone--3-methyl-	6	12	1	0	0	565-61-7	-67.9
1123	_9-10-Dimethyl-1-2-benzanthracene	20	16	0	0	0	56-56-4	66.3
1124	_3-Pentanol--2-methyl-	6	14	1	0	0	565-67-3	-81
1125	Pentane--2-3-4-trimethyl-	8	18	0	0	0	565-75-3	-51.97
1126	_3-Pentanone--2-4-dimethyl-	7	14	1	0	0	565-80-0	-74.4
1127	Bicyclo-5-3-0-decane	10	18	0	0	0	5661-80-3	-31.1
1128	Prop-1-en-1-ol--2-methyl-	4	8	1	0	0	56640-70-1	-49.5
1129	_2-5-Cyclohexadienone	6	6	1	0	0	5664-33-5	-13
1130	_1-2-3-Propanetriol	3	8	3	0	0	56-81-5	-138.1
1131	_1-1--Bicyclopropyl	6	10	0	0	0	5685-46-1	31
1132	_2H-Inden-2-one--octahydro---cis-	9	14	1	0	0	5689-04-3	-59.66
1133	Naphthalene--1-8-dimethyl-	12	12	0	0	0	569-41-5	26
1134	_2-Oxonanone	8	14	2	0	0	5698-29-3	-103.8
1135	Hexadecanoic-acid	16	32	2	0	0	57-10-3	-174.5
1136	Urea	1	4	1	2	0	57-13-6	-56.29
1137	Hydrazine--1-1-dimethyl-	2	8	0	2	0	57-14-7	19.9
1138	_2H-Pyrrole--3-4-dihydro-	4	7	0	1	0	5724-81-2	15.1
1139	_3-5-7-9-11-Pentaoxa-tridecane	8	18	5	0	0	5729-59-9	-216.52
1140	_1-2-Dihydroxynaphthalene	10	8	2	0	0	574-00-5	-47.92
1141	Propylene-glycol	3	8	2	0	0	57-55-6	-102.7
1142	c_--946--Propiolactone	3	4	2	0	0	57-57-8	-68.4
1143	Tetrahydrotriquinacene	10	14	0	0	0	57595-39-8	3
1144	Phenol--2-6-dimethyl-	8	10	1	0	0	576-26-1	-37.64
1145	c_-E--1-Propenol	3	6	1	0	0	57642-95-2	-40.4
1146	c_-Z--1-Propenol	3	6	1	0	0	57642-96-3	-41.6
1147	Isoxazole--5-methyl-	4	5	1	1	0	5765-44-6	8.14
1148	_1-Piperidineacetonitrile----945--phenyl-	13	16	0	2	0	5766-79-0	45.43
1149	_8-Quinolinamine	9	8	0	2	0	578-66-5	44.84
1150	Benzoic-acid--2-methoxy-	8	8	3	0	0	579-75-9	-103.7
1151	c_-1-1--Biphenyl--3-ol	12	10	1	0	0	580-51-8	5.1
1152	Naphthalene--2-3-dimethyl-	12	12	0	0	0	581-40-8	18.2
1153	Bicyclo-1-1-0-but-1-3--ene	4	4	0	0	0	58208-49-4	130
1154	Naphthalene--2-7-dimethyl-	12	12	0	0	0	582-16-1	19
1155	Hexane--3-4-dimethyl-	8	18	0	0	0	583-48-2	-50.91
1156	Pyridine--3-4-dimethyl-	7	9	0	1	0	583-58-4	16.7
1157	_3-Pentanol	5	12	1	0	0	584-02-1	-75.81
1158	BHT	15	24	1	0	0	58500-82-6	-70.96
1159	Phenol--m-tert-butyl-	10	14	1	0	0	585-34-2	-44.26
1160	_2-2-4-Trimethyl-3-pentanone	8	16	1	0	0	5857-36-3	-80.86
1161	Benzoic-acid--3-methoxy-	8	8	3	0	0	586-38-9	-106.62
1162	Benzene--nitroso-	6	5	1	1	0	586-96-9	48.1
1163	Phenol--2-5-bis-1-1-dimethylethyl--	14	22	1	0	0	5875-45-6	-62.1
1164	Hexane--3-methyl-	7	16	0	0	0	589-34-4	-45.96
1165	_3-Hexanone	6	12	1	0	0	589-38-8	-66.5
1166	Hexane--2-4-dimethyl-	8	18	0	0	0	589-43-5	-52.44
1167	Heptane--4-methyl-	8	18	0	0	0	589-53-7	-50.69
1168	_4-Heptanol	7	16	1	0	0	589-55-9	-84.8
1169	_4-Octanone	8	16	1	0	0	589-63-9	-83.49
1170	Heptane--3-methyl-	8	18	0	0	0	589-81-1	-50.82
1171	_3-Heptanol	7	16	1	0	0	589-82-2	-84.92
1172	_2-Butene---Z--	4	8	0	0	0	590-18-1	-1.83
1173	_1-2-Butadiene	4	6	0	0	0	590-19-2	38.77
1174	Pentane--2-2-dimethyl-	7	16	0	0	0	590-35-2	-49.29
1175	_2-Pentanone--4-4-dimethyl-	7	14	1	0	0	590-50-1	-76.6
1176	Hexane--2-2-dimethyl-	8	18	0	0	0	590-73-8	-53.71
1177	Pyrazine--2-3-dimethyl-	6	8	0	2	0	5910-89-4	30.11
1178	_1-3-Butadiene-2-ol	4	6	1	0	0	59120-04-6	-18
1179	Phenol--3-amino-	6	7	1	1	0	591-27-5	-23.6
1180	Cyclohexene--1-methyl-	7	12	0	0	0	591-49-1	-19.42
1181	Hexane--2-methyl-	7	16	0	0	0	591-76-4	-46.6
1182	_2-Hexanone	6	12	1	0	0	591-78-6	-66.87
1183	_1-4-Pentadiene	5	8	0	0	0	591-93-5	25.41
1184	_1-2-Pentadiene	5	8	0	0	0	591-95-7	33.61
1185	_2-3-Pentadiene	5	8	0	0	0	591-96-8	31.79
1186	Hexane--2-5-dimethyl-	8	18	0	0	0	592-13-2	-53.21
1187	Heptane--2-methyl-	8	18	0	0	0	592-27-8	-51.5
1188	_1-Hexene	6	12	0	0	0	592-41-6	-10.2
1189	_1-5-Hexadiene	6	10	0	0	0	592-42-7	20.4
1190	_1-3-Cyclohexadiene	6	8	0	0	0	592-57-4	25
1191	_1-Heptene	7	14	0	0	0	592-76-7	-15.1
1192	_2-1H--Quinolinone	9	7	1	1	0	59-31-4	-6.09
1193	Octadecane	18	38	0	0	0	593-45-3	-99.08
1194	_1-1--Diphenyl-1-1--bicyclopentyl	22	26	0	0	0	59358-70-2	26.6
1195	_1-1--Diphenyl-1-1--bicyclohexyl	24	30	0	0	0	59358-71-3	10.4
1196	_1-1--Diphenyl-1-1--bicyclooctyl	28	38	0	0	0	59358-73-5	16.6
1197	_2-Butanol--2-3-dimethyl-	6	14	1	0	0	594-60-5	-85.32
1198	Propane--2-methyl-2-nitro-	4	9	2	1	0	594-70-7	-42.32
1199	Butane--2-2-3-3-tetramethyl-	8	18	0	0	0	594-82-1	-54.06
1200	Propanedioic-acid--dimethyl-	5	8	4	0	0	595-46-0	-175.7
1201	Niacin	6	5	2	1	0	59-67-6	-52.94
1202	_1-Butyne--3-methyl-	5	8	0	0	0	598-23-2	32.6
1203	_1-2-Butadiene--3-methyl-	5	8	0	0	0	598-25-4	30.85
1204	Urea--methyl-	2	6	1	2	0	598-50-5	-56.33
1205	Propane--2-methoxy-	4	10	1	0	0	598-53-8	-60.24
1206	Methyl-nitrate	1	3	3	1	0	598-58-3	-29.2
1207	_2-Butanol--3-methyl-	5	12	1	0	0	598-75-4	-75.62
1208	Urea--N-N-dimethyl-	3	8	1	2	0	598-94-7	-52.57
1209	Propanoic-acid--2-2-dimethyl---methyl-ester	6	12	2	0	0	598-98-1	-118.16
1210	_4-7-Methano-1H-indene--octahydro-	10	16	0	0	0	6004-38-2	-14.38
1211	N-Tridecylcyclohexane	19	38	0	0	0	6006-33-3	-95.28
1212	n-Tridecylcyclopentane	18	36	0	0	0	6006-34-4	-84.55
